round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
592,0.5958,59.58,,7705.706038951874
593,0.6122,61.22,,7718.736363172531
594,0.6023,60.23,,7731.778706550598
595,0.6248,62.480000000000004,,7744.787219285965
596,0.6109,61.09,,7757.802823781967
597,0.6305,63.05,,7770.8527681827545
598,0.6158,61.58,,7783.894917488098
599,0.6294,62.94,,7796.919541358948
600,0.626,62.6,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0600.pth,7809.985068559647
601,0.6176,61.760000000000005,,7823.028638839722
602,0.6413,64.13,,7836.058424472809
603,0.639,63.9,,7849.107042312622
604,0.6332,63.32,,7862.13606262207
605,0.6415,64.14999999999999,,7875.152127981186
606,0.6345,63.449999999999996,,7888.183186292648
607,0.6419,64.19,,7901.210817337036
608,0.6422,64.22,,7914.2534375190735
609,0.6369,63.690000000000005,,7927.280331134796
610,0.6499,64.99000000000001,,7940.337480068207
611,0.6482,64.82,,7953.375423669815
612,0.6424,64.24,,7966.4465408325195
613,0.6513,65.13,,7979.485723495483
614,0.6467,64.67,,7992.509869337082
615,0.6515,65.14999999999999,,8005.53763628006
616,0.6461,64.61,,8018.574801206589
617,0.6477,64.77000000000001,,8031.587924480438
618,0.6496,64.96,,8044.623514175415
619,0.6486,64.86,,8057.655361890793
620,0.6511,65.11,,8070.682152748108
621,0.6531,65.31,,8083.732382535934
622,0.6538,65.38000000000001,,8096.775565862656
623,0.6503,65.03,,8109.803799390793
624,0.655,65.5,,8122.827332019806
625,0.6543,65.42999999999999,,8135.894446611404
626,0.6546,65.46,,8148.93599319458
627,0.6566,65.66,,8161.982277393341
628,0.6548,65.48,,8175.001934528351
629,0.656,65.60000000000001,,8188.034735441208
630,0.6566,65.66,,8201.064524173737
631,0.6567,65.67,,8214.092069149017
632,0.6568,65.68,,8227.12101984024
633,0.6553,65.53,,8240.173481464386
634,0.6562,65.62,,8253.21883559227
635,0.6569,65.69,,8266.234143257141
636,0.6559,65.59,,8279.275253534317
637,0.6574,65.74,,8292.307104587555
638,0.6557,65.57,,8305.343914985657
639,0.6558,65.58,,8318.37195968628
640,0.6533,65.33,,8331.388379573822
641,0.6558,65.58,,8344.394685983658
642,0.6524,65.24,,8357.411576747894
643,0.6573,65.73,,8370.406655311584
644,0.6502,65.02,,8383.379149198532
645,0.653,65.3,,8396.398064374924
646,0.6545,65.45,,8409.429510593414
647,0.6548,65.48,,8422.450432062149
648,0.645,64.5,,8435.484476089478
649,0.6353,63.53,,8448.501507759094
650,0.6262,62.62,,8461.530037164688
651,0.6125,61.25000000000001,,8474.543451070786
652,0.6188,61.88,,8487.570625305176
653,0.5846,58.46,,8500.61803817749
654,0.6066,60.660000000000004,,8513.63088107109
655,0.5828,58.28,,8526.652521371841
656,0.637,63.7,,8539.692512750626
657,0.6038,60.38,,8552.712789773941
658,0.6448,64.48,,8565.745253562927
659,0.6227,62.27,,8578.797393083572
